,wind_950mb,wind_900mb,wind_850mb,wind_800mb,wind_750mb,wind_700mb,wind_650mb,wind_600mb,wind_550mb,wind_500mb,wind_450mb,wind_400mb,wind_350mb,wind_300mb,wind_250mb,wind_200mb,rh_950mb,rh_900mb,rh_850mb,rh_800mb,rh_750mb,rh_700mb,rh_650mb,rh_600mb,rh_550mb,rh_500mb,rh_450mb,rh_400mb,rh_350mb,rh_300mb,rh_250mb,rh_200mb,timepoint,cloudcover,highcloud,midcloud,lowcloud,temp2m,lifted_index,rh2m,msl_pressure,prec_amount,snow_depth,wind10m.direction,wind10m.speed,year,type,country,age,species_,fecha_limpia,fatal,sex,latitud,longitud,country2,fatal_N,fatal_Unknown,fatal_Y,fatal_N.1,fatal_Unknown.1,fatal_Y.1,species_.1,fecha_limpia.1,type.1,age_NORM
Australia,89.375,95.703125,109.609375,113.90625,118.90625,123.75,134.0625,137.421875,151.484375,168.125,171.40625,218.59375,257.265625,267.578125,271.328125,269.375,3.015625,4.0,5.21875,6.828125,9.28125,11.25,10.671875,7.59375,1.890625,-0.53125,-2.546875,-2.328125,-2.125,-2.84375,-3.375,-3.21875,97.5,3.375,-9999.0,-9999.0,-9999.0,32.5,-0.234375,2.578125,1005.6875,2.984375,0.0,106.328125,2.921875,,,,,,,,,,,,,,,,,,,,,
New Zealand,-1783.171875,130.234375,158.90625,172.1875,174.609375,165.15625,152.578125,150.234375,151.015625,166.5625,184.0625,193.59375,205.15625,192.1875,196.71875,202.421875,-1867.359375,9.75,10.71875,10.375,8.734375,6.65625,3.609375,1.171875,0.359375,1.65625,2.265625,2.46875,2.375,3.6875,5.078125,-1.015625,97.5,5.078125,-9999.0,-9999.0,-9999.0,15.140625,6.546875,9.84375,1017.890625,2.984375,0.0,156.328125,1.984375,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,-9999.0,-9999.0,-9999.0,167.265625,232.34375,273.828125,249.6875,151.640625,99.921875,108.90625,94.375,76.640625,80.9375,102.109375,109.0625,110.3125,-9999.0,-9999.0,-9999.0,11.796875,12.40625,11.421875,10.765625,11.109375,11.28125,10.21875,8.734375,8.03125,9.21875,11.453125,10.703125,9.859375,97.5,8.4375,-9999.0,-9999.0,-9999.0,14.984375,-0.046875,13.171875,-9999.0,4.015625,0.0,200.15625,2.0,,,,,,,,,,,,,,,,,,,,,
South Africa,-9999.0,-9999.0,148.359375,187.34375,189.140625,195.78125,177.8125,148.90625,139.21875,129.453125,170.15625,225.15625,241.796875,252.1875,286.171875,293.4375,-9999.0,-9999.0,-0.71875,-0.15625,0.828125,2.0625,3.90625,6.703125,8.125,2.75,-1.53125,-0.765625,0.890625,1.234375,2.03125,4.1875,97.5,3.46875,-9999.0,-9999.0,-9999.0,32.015625,1.84375,-0.734375,1010.09375,0.375,0.0,146.25,3.046875,,,,,,,,,,,,,,,,,,,,,
USA,-9999.0,176.328125,187.890625,204.140625,225.625,251.484375,248.046875,246.640625,255.46875,267.265625,262.578125,260.78125,254.921875,254.53125,271.484375,268.4375,-9999.0,8.171875,6.515625,4.796875,4.984375,5.359375,6.203125,6.96875,7.359375,7.8125,8.125,8.796875,10.265625,9.546875,4.375,0.875,97.5,6.375,-9999.0,-9999.0,-9999.0,2.828125,13.234375,9.046875,1012.28125,1.078125,-1405.4375,178.75,2.453125,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Boating,usa,57.0,White shark,Jun,N,F,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,4.0,7.0,1.0,9.11632668199024
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Unprovoked,usa,11.0,Unespecific,Jun,N,F,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0,7.0,3.804859608483185
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Invalid,usa,48.0,Unespecific,Jun,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0,3.0,8.40362856936233
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Unprovoked,australia,27.0,Unespecific,Jun,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0,7.0,6.313925056346614
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,Unprovoked,australia,27.0,Unespecific,Jun,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0,7.0,6.313925056346614
